key,id,title,text,label
1947342,10022,Reconnection at multiply-connected null points,"Global magnetic field models have shown that nulls in the solar atmosphere are configured in a variety of complex ways. Little is known about the reconnection that takes place here, except at an idealised single separator connecting two nulls. This research aims to better understand reconnection at 3d null points by studying the simplest example of a system of multiply-connected nulls. This system consists of two nulls (with opposite polarity) connected by two separators. The work will begin by deriving the double separator potential field before smoothly introducing a current by the addition of a non-potential component to the magnetic field. This new field will form the basis for a numerical relaxation experiment performed using the Lare3d code to solve the ideal MHD equations, from which the initial condition for the reconnection experiment will be gathered. The reconnection will subsequently be studied by running the same code but with an anomalous resistivity switched on, such that the resistive MHD equations will be solved at grid points whose current exceeds a critical value. The energy changes during this experiment (and accompanying heating terms) will be studied and compared with those found in the single separator case. We will also pay close attention to the reconnection rate and the behaviour of the waves (and plasma flows) released from the diffusion region. One of the key questions the research will address is whether the reconnection rate in multiply-connected null points is higher due to recursive reconnection of fieldlines between the neighbouring diffusion regions.",0
EP/P03280X/1,24394,Tailorable and Adaptive Connected Digital Additive Manufacturing (TACDAM),"The aim of the project is to create complex designs for heat exchangers by additive manufacturing. Additive manufacturing will use metallic powders which are laser sintered. The unused powder can cause issues if it is retained in the manufactured product and compromise the performance of the heat exchangers. Vibration is used to remove the unused powder from the system. In order to design the optimum vibration response of the product to remove this powder it is essential to be able to understand the vibration characteristics of the product and this will be the key role that ASDEC will undertake for the project.

The Advanced Structural Dynamics Evaluation Centre (ASDEC) of the University of Leicester is a unique facility for measuring vibration of complex components and structures by non-contact methods. ASDEC has world leading systems and capability in the measurement, assessment and analysis of vibration. Critically for this project, we have the ability to measure surface vibration in a non-contact and non-distructive manner up to 1MHz. ASDEC combines the combination of a Robovib system, LMS Modal Analysis and Virtual Correlation tools and a portable laser vibrometry system that can be used in the manufacturing environment. The 3D laser vibrometry equipment will allow repeatable measurements to be performed in unparalleled detail and accuracy on the complex structures that will be produced by our project partners. These measurements would be unachievable using other measurement techniques. 

Modal analysis of the vibration of the components will be used to optimise the powder shake-out and therefore allow for optimisation of the manufacturing routes. Additive manufacturing is highly attractive as it allows structures and architectures for products that are unachievable by conventional manufacturing routes. In addition to the capability of the ASDEC facility, the key staff have 40 years combined experience in vibration and acoustic engineering and development as well as signal processing and analysis.",0
2106291,29256,Impacts of novel control strategies for Spotted Winged Drosophila on ecosystem services and crop production in raspberries,"Project motivation and aims (&lt;300 words):
Raspberries are an increasingly important high value crop in the UK with opportunities to increase the market in the near future. Raspberry production is under threat however from a number of key pests including spotted winged drosophila (Drosophila suzukii, SWD) but chemical control options (primarily, cyantraniliprole, spinosad and lambda-cyhalothrin) are limited with restrictions on use, and repeated insecticide applications are unsustainable and could cause future insecticide resistance of SWD. Even with current insecticide control options, SWD control breaks down, particularly towards the end of the season when populations increase. Insect mesh is increasingly being employed to limit the impact of SWD by reducing numbers that enter the crop from neighbouring habitats. However, this novel control strategy has implications for crop pollination and pest control by excluding wild pollinating insects and natural enemies. It may also effect poly-tunnel climatic conditions increasing risks of disease and crop loss. If insect mesh is to become the mainstay of SWD control then it is crucially important to understand what impact this may have for pollination, biocontrol and crop production and we need to identify effective methods of integrating mesh into raspberry production which maximize control of SWD but minimize negative effects on ecosystem services. 

The risks and benefits of incorporating insect mesh to control SWD has been identified as a key knowledge gap by the industry and so the aim of this project is to quantify its effects on raspberry production and identify how it can be integrated into management systems to maximise the benefits to the growers. The specific Research Objective of this project include:

1. Test the effectiveness of insect mesh to provide economically acceptable control of SWD in raspberries.
2. Investigate the potential impacts of insect mesh on insect pollination, natural pest control, disease and the tunnel environment and resulting fruit yield and quality.
3. Field test different management practices for integrating insect mesh into raspberry production in order to identify an optimal strategy that is economically feasible and delivers effective IPM.


Programme of research (&lt;300 words):
Using Berryworld's extensive network of raspberry growers, we will implement a replicated trial to address our three research objectives. Working closely with growers we will compare poly-tunnels which have installed insect mesh to control SWD with those that have not. Treatments will be replicated within and across different farms allowing us to understand the impacts of insect mesh across a number of different geographic and management contexts.

Objective 1: Testing effectiveness of insect mesh in controlling SWD. Throughout season 1 and 2, SWD populations will be surveyed using standard semiochemical monitoring traps inside and outside insect mesh and control poly-tunnels. The impact of SWD on the crop will be measured using flotation and emergence tests. This allows us to quantify the direct effects of insect mesh on SWD fruit damage, and by tracking SWD populations, we will identify how well mesh prevents SWD entering the crop throughout the growing season.

Objective 2: Understanding impacts of insect mesh on other ecosystem services. In season 1 and 2, pollination services (transect walks), natural pest regulation (bait cards) and the tunnel environment (temperature and humidity) will be compared between insect mesh and control tunnels. Levels of fungal disease in the fruit, and final crop output will be measured to understand if insect mesh compromises production by affecting these other key factors.
Objective 3: Developing and testing optimal strategies for incorporating mesh into sustainable raspberry production. Informed by Objectives 1 and 2, in season 3 and 4, difference SWD control strategies will be compared including raising and low",0
710756,29505,PyroGen - End of life plastic to oil pyrolysis for a closed loop energy from waste process,"The UK is increasing its adoption of alternative waste disposal options including increased
material recovery &amp; recycling, &amp; processes that enable the recovery of energy from waste
such as anaerobic digestion (AD), incineration &amp; advanced thermal treatment processes such
as pyrolysis &amp; gasification to reduce landfilled waste &amp; meet the UK窶冱 increasing energy
needs. Currently, UK waste disposal facilities (MRFs, AD plants, composting facilities, etc.)
send 27,000kt of end-of-life plastics to landfill at a total cost of ~&pound;70M (gate fees of &pound;80/t)
per annum, placing the UK in the bottom 7 of the EU27 for diversion from landfill &amp; at risk
of reaching landfill capacity by 2018.
Pyrolysis provides a viable solution for the conversion of these end of life plastics back into
oil. Smaller scale pyrolysis technologies in operation have been designed to handle a
consistent organic biomass feedstock &amp; are limited in scale by pre-treatment &amp; refinement
processes. Due to the inconsistent mix of plastics in the municipal solid waste (MSW) stream,
the quality of oil products derived from ELPs is low and further processing is required to give
a quality fuel product. Pearwalk propose a novel integrated pyrolysis system which uses a
continuous process that will allow for a closed loop/continuous system across a variety of
scales using smaller but more frequent waste streams. The technology will provide a
significant opportunity for AD plant operators &amp; material recover facilities (MRFs) to turn
their unsorted, unwashed waste end of life plastics into clean low sulphur fuels (for heating &amp;
energy generation) without the need for extensive, complex &amp; costly pre-treatment or
refinement processes. The project aims to design a small scale pyrolysis rig prototype &amp; to
evaluate its use with a variety of mixed end of life plastic feedstocks to ensure that sufficient
output yields can be achieved for a commercially viable energy from waste solution to be
developed.",0
NE/P001130/1,24330,Reciprocal interaction between microbial evolution and community structure in soil,"Evolutionary change can occur over comparable time scales to changes in community composition, hence rapid evolution can play a key role in community ecology and vice versa. However, we have little understanding of the significance of, or mechanisms underlying, this interaction in nature. Here, we will identify how and why the presence versus absence of a range of natural soil microbial communities affects the molecular and phenotypic evolution of a focal species of bacteria adapting to a novel environment (elevated temperature), and in turn how and why evolution of the focal species affects community composition.",0
EP/R043868/1,33745,Handheld quantum wireless for financial transactions,"Mobile phones and handheld devices are increasingly being used for wireless financial transactions, and maintaining the
security of these is paramount. This work will combine a quantum secure wireless link with secure software to create a
demonstration of how quantum technologies can play a role in payments and other financial transactions. We will work on
both the physical hardware for the link, building on existing expertise, and the software that is required to enable the
transaction.",0
1921615,29623,Novel optical fibres for mid-infrared applications,"In this project we aim to develop a set of novel mid-IR delivery fibres. We will target the development of thermal imaging bundles for the remote endoscopic thermal analysis of hard to reach areas, and of mid-IR transmitting hollow core fibres that circumvent the lack of durable and low-loss glasses at these wavelengths in the 5-10um spectral range. The student will develop a manufacturing platform for compound-glass-based fibre bundles made of chalcogenides and polymers, and for hollow-core fibres based on novel air-guiding designs and made of lower phonon energy, 'softer', glasses.",0
511653,37160,University of Warwick and AstraZeneca UK Limited,To apply Solid-State NMR crystallography to provide better quality products and improved manufacturing processes for disordered active pharmaceutical ingredients such as hydrates.,0
ST/R002916/1,20269,Visitor funding for disadvantaged Southern African PDRAs to the UK,"There is an urgent unmet economic need for skilled STEM workers in South Africa, but majority non-white participation in higher education is more than four times lower than among white South Africans, exacerbated by the fact that still more than 86% of full professors in South Africa are white. We propose to address this with a programme of visiting research fellowships from disadvantaged Southern African postdoctoral researchers to UK institutions partnering in the Southern African Large Telescope, addressing the following UN Sustainable Development Goals: (4) Quality Education (10) Reduced Inequalities (17) Partnerships for the Goals. This project is spectacularly cost-effective: with the fellows' salaries generously being paid directly by South Africa, and UK institutions waiving the estates/indirect costs, this project leverages more than a factor of ten more funding than the size of the STFC grant award.",0
1864953,22194,Outlier detection in social behaviour in latent class and group-based latent trajectory models,"This application relates to an issue that is important for criminology and other social science
disciplines - that of detecting small outlier classes in large datasets. Latent Class Analysis(LCA)
(Lazarsfeld and Henry, 1968) and group-based trajectory models (GBTM) (Nagin, 2005) are now used
extensively in the social sciences to detect classes of individuals based on behaviour or survey
responses.
For example, in criminology, LCA has been used for detecting patterns in criminological offending
activity in the types of offending carried out (Francis, Soothill and Fligelstone, 2004). Such models
however fail to identify small latent classes. These unusual patterns of behaviour are probably the
most important to identify, but such individuals will instead be forced into other clusters,
contaminating these clusters and losing the important aberrant behaviour. Thus, there will be
individuals who focus their criminal activity on violent and sexual offending (Hodgins, 2004) but
these are rare in the population of offenders. LCA has failed to identify such individuals, instead
merging them into other latent classes. Extending into longitudinal data, GBTMs identify classes of
trajectory patterns over time in the frequency of offending. Again, there may be patterns of
behaviour in large datasets (such as very late starters) that are not detected through conventional
GBTM methods.",0
